"time" "S" "E" "I_symp" "I_asymp" "R" "Cumulative" "Incidence_reported" "Incidence_non_reported" "Datum"
69 2365352.01907618 5381.04182499065 28.5524951218011 2218.50970884564 1569.87689485963 9197.98092381656 13.3998492504669 1041.70639094378 2020-03-09
70 2362616.74547939 6916.09015745741 37.2498321285444 2894.85337356876 2085.06115745344 11933.2545206072 17.2224205881783 1338.8736887172 2020-03-10
71 2359194.25149968 8803.5733058867 48.2374491556149 3749.20546262348 2754.73228265208 15355.7485003169 21.9226237225022 1704.26822056901 2020-03-11
72 2354967.88841336 11086.6864608595 61.947308844508 4815.1537633241 3618.32405361774 19582.1115866438 27.6080231476304 2146.25206721697 2020-03-12
73 2349823.24171109 13798.7897856472 78.820192647072 6126.97038004427 4722.17793057162 24726.7582889083 34.3616922113176 2671.28336379794 2020-03-13
74 2343656.68421101 16957.3710733675 99.2749154505491 7717.21870246756 6119.45109770497 30893.315788989 42.2271789474054 3282.74754132073 2020-03-14
75 2336384.89891158 20558.2183475576 123.669551443691 9613.73928511337 7869.47390430637 38165.1010884191 51.193994708624 3979.82921069484 2020-03-15
76 2327954.11491833 24570.9122219574 152.257849478351 11836.2617236199 10036.4532866169 46595.8850816707 61.1863892585997 4756.63953661539 2020-03-16
77 2318347.52809175 28936.7916728846 185.146065260704 14393.0489077067 12687.4852623957 56202.4719082457 72.0582851462028 5601.82243502725 2020-03-17
78 2307589.46229627 33570.2625610677 222.256787931439 17278.084996331 15889.9333583991 66960.5377037274 83.5965361814823 6498.80788755728 2020-03-18
79 2295745.28351463 38363.7371540863 263.306554707036 20469.3352603169 19708.3375162591 78804.7164853672 95.5332278150776 7426.76817494694 2020-03-19
80 2282916.88785551 43195.7091195143 307.802487472139 23928.4846792372 24201.115858273 91633.1121444949 107.565785454477 8362.18110072481 2020-03-20
81 2269234.44080785 47940.7809596227 355.060302938546 27602.3381102652 29417.379819323 105315.559192147 119.38194474259 9280.77118459519 2020-03-21
82 2254845.76266991 52480.016712595 404.242404159178 31425.781574533 35394.1966388099 119704.237330095 130.685531813717 10159.5138235971 2020-03-22
83 2239905.07778467 56710.0044987111 454.411184228757 35325.9261329261 42154.580399465 134644.922215329 141.219030810516 10978.3896944269 2020-03-23
84 2224562.75001658 60549.3950323008 504.590358474791 39226.8758911833 49706.3887014622 149987.249983419 150.779866060828 11721.6505324295 2020-03-24
85 2208957.19663806 63942.266820043 553.826364266604 43054.5012559426 58042.2089216934 165592.803361943 159.228782081284 12378.4705943977 2020-03-25
86 2193209.54164447 66858.4192305977 601.242424173959 46740.6418339272 67140.1548668282 181340.458355526 166.490573378155 12943.0033934057 2020-03-26
87 2177420.9971598 69291.1288879226 646.080626165963 50226.3777702237 76965.4155558873 197129.002840198 172.548497426788 13413.9473629502 2020-03-27
88 2161672.66450773 71253.1167769169 687.728797414907 53464.1189358222 87472.3709821212 212877.335492274 177.434231973891 13793.765136049 2020-03-28
89 2146026.96519116 72771.7728302308 725.732448979691 56418.5335205976 98606.9960090284 228523.034808835 181.215983322339 14087.7590814288 2020-03-29
90 2130530.13921904 73884.2623126023 759.793562253513 59066.4537008489 110309.351205258 244019.860780961 183.986300268637 14303.1239571044 2020-03-30
91 2115215.17837186 74633.1259163073 789.759004764543 61395.9750894195 122515.961617649 259334.821628139 185.851117477863 14448.0951406216 2020-03-31
92 2100104.75538789 75062.6396567781 815.602244403537 63405.0352031553 135161.967507776 274445.244612112 186.920690910016 14531.2439476739 2020-04-01
93 2085213.86681798 75216.145382529 837.400597701605 65099.6447454762 148182.942456311 289336.133182017 187.302950266298 14560.9608502296 2020-04-02
94 2070552.05811316 75134.1900317397 855.312147383546 66492.0931775477 161516.346530167 303997.941886837 187.098865373156 14545.0952584974 2020-04-03
95 2056125.1872482 74853.4200589323 869.553605981174 67599.2278355179 175102.611251372 318424.812751803 186.399693087929 14490.741494938 2020-04-04
96 2041936.72345761 74406.1134251998 880.379975853784 68440.8727000983 188885.910441234 332613.276542385 185.285811862753 14404.1481930784 2020-04-05
97 2027988.68549003 73820.1064655593 888.067693515189 69038.5180361911 202814.622314706 346561.31450997 183.826539629922 14290.7041398915 2020-04-06
98 2014282.27059862 73119.0154587909 892.900988836779 69414.2599570632 216841.552996689 360267.729401379 182.080685554244 14154.9811691106 2020-04-07
99 2000818.24575896 72322.6398073813 895.161290061774 69589.9767700228 230923.976373571 373731.754241036 180.097554030146 14000.8122121231 2020-04-08
100 1987597.17994382 71447.4305180839 895.119711239519 69586.7449496372 245023.524877219 386952.820056179 177.91811129013 13831.3819902949 2020-04-09
101 1974619.55978325 70506.9824822598 893.031946085635 69424.4421866476 259105.983601753 399930.440216745 175.576211279353 13649.3223146539 2020-04-10
102 1961885.83051566 69512.508078204 889.135139405966 69121.5041728171 273141.02209391 412664.169484336 173.099775018273 13456.8037697276 2020-04-11
103 1949396.39590982 68473.2609051516 883.646402472377 68694.8091867027 287101.887595852 425153.604090177 170.511845783417 13255.617743462 2020-04-12
104 1937151.59342324 67396.9074733231 876.762464430009 68159.6509945657 300965.08564444 437398.406576758 167.831514688471 13047.2483820415 2020-04-13
105 1925151.65936669 66289.8419162436 868.660151572035 67529.7761097298 314710.06245577 449398.340633314 165.074704379665 12832.9335144916 2020-04-14
106 1913396.69325198 65157.4448068313 859.497459332719 66817.4671298702 328318.897351987 461153.30674802 162.25481353858 12613.7147564283 2020-04-15
107 1901886.62491538 64004.295227618 849.414909218557 66033.6482253667 341776.016722418 472663.37508462 159.383244978578 12390.4785643583 2020-04-16
108 1890621.18872175 62834.3295669975 838.537093106084 65188.0051934997 355067.93942465 483928.811278252 156.469801078602 12163.9869767641 2020-04-17
109 1879599.90215555 61650.9829831588 826.974298397824 64289.1117985535 368183.028764346 494950.097844455 153.523036056101 11934.9049998574 2020-04-18
110 1868822.05166358 60457.2899389067 814.82408374075 63344.5522685835 381111.282045195 505727.948336425 150.550506318454 11703.8200699378 2020-04-19
