"time" "S" "E" "I_symp" "I_asymp" "R" "Cumulative" "Incidence_reported" "Incidence_non_reported" "Datum"
107 1898410.99150659 69132.5064883178 883.829385389289 68709.0350224996 337413.637597198 476139.008493407 172.15349654934 13383.2399325326 2020-04-16
108 1885600.49493823 68453.5937636699 878.86395688161 68323.0219341101 351294.025407111 488949.505061775 170.462870744825 13251.8104162493 2020-04-17
109 1872961.07786978 67740.1325639594 873.225748890759 67884.7068435786 365090.856973793 501588.922130223 168.686212463193 13113.6927216465 2020-04-18
110 1860497.86697265 66993.6245359481 866.960477111118 67397.6436996608 378793.904314632 514052.133027353 166.827261099322 12969.1775498709 2020-04-19
111 1848215.61234948 66215.6459975188 860.10904887807 66865.0126478967 392393.61995623 526334.387650524 164.889941993821 12818.5700575197 2020-04-20
112 1836118.67856078 65407.8427981209 852.708595973411 66289.7003211802 405881.069723943 538431.321439219 162.878353634536 12662.1888616833 2020-04-21
113 1824211.04031103 64571.9218061866 844.793306259025 65674.3644911852 419247.880085334 550338.959688966 160.796746458543 12500.3643920094 2020-04-22
114 1812496.28173574 63709.6406151039 836.395084083585 65021.4854085632 432486.197156509 562053.718264261 158.649497218004 12333.4368979004 2020-04-23
115 1800977.59846741 62822.7966109269 827.544065724432 64333.4058735389 445588.654982398 573572.40153259 156.441081756622 12161.7543321506 2020-04-24
116 1789657.81254368 61913.2155170771 818.269043955755 63612.3642419638 458548.33865332 584892.187456318 154.176046483702 11985.6701333353 2020-04-25
117 1778539.32575496 60982.7425111391 808.597632441029 62860.5072052272 471358.826896231 596010.67424504 151.858986253229 11805.541506127 2020-04-26
118 1767624.2234405 60033.2278921701 798.556744671992 62079.9270231282 484014.064899532 606925.776559504 149.494508672659 11621.7266466548 2020-04-27
119 1756914.20307793 59066.5212369616 788.172529438812 61272.6565073051 496508.446648358 617635.796922065 147.087219550865 11434.5836112259 2020-04-28
120 1746410.62107698 58084.4615977836 777.470575707399 60440.6849484695 508836.761801057 628139.378923019 144.641698488598 11244.4684187239 2020-04-29
121 1736114.48867212 57088.8696093488 766.475947741705 59585.9608468323 520994.204923956 638435.511327881 142.16247922328 11051.7335226098 2020-04-30
122 1726026.48934809 56081.5389263615 755.21325209781 58710.3971202532 532976.361353195 648523.51065191 139.654028306822 10856.7261533327 2020-05-01
123 1716146.99102841 55064.2301315841 743.706647656796 57815.8718842098 544779.200308133 658403.008971585 137.120729935513 10659.7871390025 2020-05-02
124 1706476.05095587 54038.663747091 731.979829351922 56904.2271867556 556399.078280927 668073.949044127 134.566868546678 10461.2495524516 2020-05-03
125 1697013.46930354 53006.5214246226 720.056083550806 55977.2733139521 567832.679874328 677536.530696455 131.996631782884 10261.4389416725 2020-05-04
126 1687758.73885872 51969.431183997 707.958164110279 55036.779154353 579077.092638822 686791.261141284 129.414073732698 10060.6704721491 2020-05-05
127 1678711.08470395 50928.9670657323 695.708303723392 54084.4730811312 590129.766845461 695838.915296049 126.823114065647 9859.24885960735 2020-05-06
128 1669869.50010413 49886.6497800047 683.328216572981 53122.0431583756 600988.478740912 704680.499895867 124.227539648247 9657.4684956468 2020-05-07
129 1661232.74452065 48843.9412186966 670.83904320977 52151.1328559069 611651.342361531 713317.255479346 121.630990877931 9455.6123853371 2020-05-08
130 1652799.35618288 47802.2415322047 658.261320054641 51173.3386783821 622116.802286473 721750.643817116 119.036954403725 9253.95158132268 2020-05-09
131 1644567.66789131 46762.8879542917 645.614946880481 50190.2076373314 632383.621570182 729982.332108687 116.448760199903 9052.74495632788 2020-05-10
132 1636535.8209089 45727.1533602254 632.919159082999 49203.235095489 642450.871476299 738014.179091098 113.869577975463 8852.23892402951 2020-05-11
